Source table,Breathing mode,Mean flow rate (cm3 s-1),Breathing cycle period (s),Tidal volume (cm3),Particle diameter (µm),Region (normalized),Region (as in table),Deposition fraction
Table 1,Oral,250,8,1000,0.005,Total,DE,0.82
Table 1,Oral,250,4,500,0.005,Total,DE,0.67
Table 1,Oral,750,4,1500,0.005,Total,DE,0.87
Table 1,Oral,250,8,1000,0.007,Total,DE,0.81
Table 1,Oral,250,4,500,0.007,Total,DE,0.65
Table 1,Oral,750,4,1500,0.007,Total,DE,0.86
Table 1,Oral,250,8,1000,0.01,Total,DE,0.8
Table 1,Oral,250,4,500,0.01,Total,DE,0.62
Table 1,Oral,750,4,1500,0.01,Total,DE,0.84
Table 1,Oral,250,8,1000,0.02,Total,DE,0.74
Table 1,Oral,250,4,500,0.02,Total,DE,0.52
Table 1,Oral,750,4,1500,0.02,Total,DE,0.72
Table 1,Oral,250,8,1000,0.03,Total,DE,0.67
Table 1,Oral,250,4,500,0.03,Total,DE,0.44
Table 1,Oral,750,4,1500,0.03,Total,DE,0.61
Table 1,Oral,250,8,1000,0.05,Total,DE,0.52
Table 1,Oral,250,8,1000,0.05,Laryngeal,DE_L,0.0
Table 1,Oral,250,8,1000,0.05,Bronchial,DE_B,0.0
Table 1,Oral,250,8,1000,0.05,Alveolar,DE_A,0.52
Table 1,Oral,250,4,500,0.05,Total,DE,0.33
Table 1,Oral,250,4,500,0.05,Laryngeal,DE_L,0.0
Table 1,Oral,250,4,500,0.05,Bronchial,DE_B,0.0
Table 1,Oral,250,4,500,0.05,Alveolar,DE_A,0.33
Table 1,Oral,750,4,1500,0.05,Total,DE,0.45
Table 1,Oral,750,4,1500,0.05,Laryngeal,DE_L,0.0
Table 1,Oral,750,4,1500,0.05,Bronchial,DE_B,0.0
Table 1,Oral,750,4,1500,0.05,Alveolar,DE_A,0.45
Table 1,Oral,250,8,1000,0.07,Total,DE,0.43
Table 1,Oral,250,8,1000,0.07,Laryngeal,DE_L,0.0
Table 1,Oral,250,8,1000,0.07,Bronchial,DE_B,0.0
Table 1,Oral,250,8,1000,0.07,Alveolar,DE_A,0.43
Table 1,Oral,250,4,500,0.07,Total,DE,0.27
Table 1,Oral,250,4,500,0.07,Laryngeal,DE_L,0.0
Table 1,Oral,250,4,500,0.07,Bronchial,DE_B,0.0
Table 1,Oral,250,4,500,0.07,Alveolar,DE_A,0.27
Table 1,Oral,750,4,1500,0.07,Total,DE,0.36
Table 1,Oral,750,4,1500,0.07,Laryngeal,DE_L,0.0
Table 1,Oral,750,4,1500,0.07,Bronchial,DE_B,0.0
Table 1,Oral,750,4,1500,0.07,Alveolar,DE_A,0.36
Table 1,Oral,250,8,1000,0.1,Total,DE,0.34
Table 1,Oral,250,8,1000,0.1,Laryngeal,DE_L,0.0
Table 1,Oral,250,8,1000,0.1,Bronchial,DE_B,0.0
Table 1,Oral,250,8,1000,0.1,Alveolar,DE_A,0.34
Table 1,Oral,250,4,500,0.1,Total,DE,0.21
Table 1,Oral,250,4,500,0.1,Laryngeal,DE_L,0.0
Table 1,Oral,250,4,500,0.1,Bronchial,DE_B,0.0
Table 1,Oral,250,4,500,0.1,Alveolar,DE_A,0.21
Table 1,Oral,750,4,1500,0.1,Total,DE,0.25
Table 1,Oral,750,4,1500,0.1,Laryngeal,DE_L,0.0
Table 1,Oral,750,4,1500,0.1,Bronchial,DE_B,0.0
Table 1,Oral,750,4,1500,0.1,Alveolar,DE_A,0.25
Table 1,Oral,250,8,1000,0.2,Total,DE,0.21
Table 1,Oral,250,8,1000,0.2,Laryngeal,DE_L,0.0
Table 1,Oral,250,8,1000,0.2,Bronchial,DE_B,0.0
